second,energy_0to1
0,0.0
1,0.03259354810312359
2,0.14428712086051987
3,0.21707854910567623
4,0.2844764744012411
5,0.32230985671248874
6,0.36983861808840457
7,0.33162207125296783
8,0.3994057469158411
9,0.46712513295853675
10,0.4971240506439759
11,0.5638844353508314
12,0.6685697506288616
13,0.6438328599660799
14,0.6183901017611578
15,0.6859860109748519
16,0.7001272481174869
17,0.6804419723267293
18,0.7326921817699311
19,0.7848462107743868
20,0.7922912439302114
21,0.7715046389838564
22,0.7737792398936469
23,0.7517850600347387
24,0.735149196821715
25,0.7806771426870003
26,0.838672479825635
27,0.8145218109436713
28,0.825248820697383
29,0.8033979900154123
30,0.7419335886959808
31,0.7198098640073938
32,0.7578801112189063
33,0.749926857330864
34,0.7567722584803003
35,0.7626140227753272
36,0.7471490014889186
37,0.7465361915311233
38,0.766478219214886
39,0.8282419322299961
40,0.861954904012705
41,0.8998495087965187
42,0.9246018416434826
43,0.9706277107523289
44,1.0
45,0.9732911859403295
46,0.9045994416901951
47,0.7938449090599272
48,0.5679853701822143
49,0.3300805563264573
